GED2025_V1_00,GED2025_V1_00_NAME,GED2025_V1_00_NAME_ASCII,GENERAL_ELECTORAL_POPULATION,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length
001,Auckland Central,Auckland Central,68162,488.1266666,5860.659902,433018.0173
002,Banks Peninsula,Banks Peninsula,72855,1068.455332,4310.407498,292496.1748
003,Botany,Botany,66407,111.605725,174.5399694,77968.31651
004,Christchurch Central,Christchurch Central,70160,32.53436523,32.53436523,41228.73479
005,Christchurch East,Christchurch East,73351,93.18241514,373.5829731,87454.36427
006,Coromandel,Coromandel,70560,4270.859266,12015.18132,557654.7705
007,Dunedin,Dunedin,67654,703.7159275,2203.379944,220924.7652
008,East Cape,East Cape,70147,13813.22507,25112.62277,1029433.779
009,East Coast Bays,East Coast Bays,68471,59.45330767,133.5131966,73971.63167
010,Epsom,Epsom,67435,22.14452674,24.02868256,22352.48867
011,Glendene,Glendene,68383,25.64186353,48.23572679,34140.15679
012,Hamilton East,Hamilton East,70874,40.37983344,40.37983344,34569.04621
013,Hamilton West,Hamilton West,71663,66.88012349,67.44372254,65907.85596
014,Henderson,Henderson,67170,36.10319202,37.33577585,35004.09946
015,Hutt South,Hutt South,72971,349.721577,1001.95897,190147.2139
016,Ilam,Ilam,71598,109.8340743,109.8340743,51375.37238
017,Invercargill,Invercargill,67227,11384.96166,28321.75231,1046452.837
018,Kaikōura,Kaikoura,67979,21653.63877,33181.03271,1012105.79
019,Kaipara ki Mahurangi,Kaipara ki Mahurangi,67565,2190.508423,5747.397633,463089.1935
020,Kapiti,Kapiti,71616,935.7650205,2492.271094,263352.4028
021,Kenepuru,Kenepuru,70951,130.5068919,322.4402495,101157.4461
022,Māngere,Mangere,69001,57.11990618,155.9114205,65092.39304
023,Manurewa,Manurewa,72873,31.23772415,34.35123782,33117.19875
024,Maungakiekie,Maungakiekie,70643,36.43991053,40.80617813,32254.86836
025,Mt Albert,Mt Albert,67192,20.87832466,25.53002631,31263.74701
026,Mt Maunganui,Mt Maunganui,70953,90.65835067,1547.084556,201900.2441
027,Mt Roskill,Mt Roskill,69221,22.4059085,38.74047794,37493.78704
028,Napier,Napier,68034,10319.72245,15299.44317,758779.4369
029,Nelson,Nelson,67897,525.7243057,1348.560234,192481.0717
030,New Plymouth,New Plymouth,71636,1017.541203,3347.589466,256262.2206
031,North Shore,North Shore,67505,25.90966215,74.38835629,38590.61501
032,Northcote,Northcote,69373,29.06766207,43.94718029,27121.69767
033,Northland,Northland,72936,10841.30251,26948.30429,1098023.621
034,Ōtāhuhu,Otahuhu,66649,24.15742413,26.88455261,30264.17777
035,Pakuranga,Pakuranga,67431,24.97214954,49.48699643,36068.69811
036,Palmerston North,Palmerston North,73298,241.4490952,241.4490952,90783.3301
037,Papakura,Papakura,66881,699.4490297,872.4671223,205369.2045
038,Port Waikato,Port Waikato,72869,2179.388721,3956.189638,355271.0912
039,Rangitata,Rangitata,69892,6809.352204,8827.065287,551103.3284
040,Rangitīkei,Rangitikei,73353,7633.549393,9113.938862,774976.7929
041,Remutaka,Remutaka,72383,510.687468,510.687468,139134.7219
042,Rotorua,Rotorua,66574,2911.699823,3121.519332,356951.2721
043,Selwyn,Selwyn,68506,6345.011528,6794.060295,555114.4073
044,Southland,Southland,70048,30905.72251,39877.42974,1529692.261
045,Taieri,Taieri,66935,5636.302801,7358.693658,500442.9264
046,Takanini,Takanini,67144,33.84915892,38.2111263,44053.63373
047,Tāmaki,Tamaki,66696,26.89480687,44.50368084,31224.79387
048,Taranaki-King Country,Taranaki-King Country,71074,13209.27224,17450.49674,851179.162
049,Taupō,Taupo,73252,8031.832771,8662.354517,699383.4426
050,Tauranga,Tauranga,71852,469.1796568,502.3812958,148633.8592
051,Tukituki,Tukituki,67994,3449.210304,5392.070131,412694.7555
052,Upper Harbour,Upper Harbour,66392,54.56606306,65.87540098,48229.90878
053,Waikato,Waikato,72013,3492.379898,3516.078858,377238.1557
054,Waimakariri,Waimakariri,72977,1750.348949,1997.545027,334000.0767
055,Wairarapa,Wairarapa,72929,11908.30596,18546.14257,704072.0245
056,Waitākere,Waitakere,67096,304.8113637,941.8307448,149077.699
057,Waitaki,Waitaki,72509,30781.16537,34719.16481,1181684.733
058,Wellington Bays,Wellington Bays,72383,847.3218678,14050.06297,606424.3735
059,Wellington North,Wellington North,73049,133.0684019,619.8685795,139641.4836
060,West Coast-Tasman,West Coast-Tasman,67972,32758.71504,51026.06644,1655204.623
061,Whanganui,Whanganui,72105,11218.65967,14097.89347,885515.9434
062,Whangaparāoa,Whangaparaoa,66778,159.9357682,397.9406432,110540.1669
063,Whangārei,Whangarei,73054,1670.508994,5317.779832,361683.3643
064,Wigram,Wigram,72780,108.5989236,108.5989236,64478.45337
